filename, language, HTML, TypeScript, CSS, comment, blank, total
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/app-routing.module.ts, TypeScript, 0, 43, 0, 0, 5, 48
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/app.component.css, CSS, 0, 0, 99, 0, 17, 116
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/app.component.html, HTML, 116, 0, 0, 8, 5, 129
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/app.component.spec.ts, TypeScript, 0, 27, 0, 0, 5, 32
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/app.component.ts, TypeScript, 0, 59, 0, 0, 4, 63
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/app.module.ts, TypeScript, 0, 100, 0, 0, 2, 102
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/auth/login/login.component.css, CSS, 0, 0, 0, 0, 1, 1
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/auth/login/login.component.html, HTML, 9, 0, 0, 27, 2, 38
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/auth/login/login.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/auth/login/login.component.ts, TypeScript, 0, 59, 0, 9, 5, 73
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/auth/logout/logout.component.css, CSS, 0, 0, 0, 0, 1, 1
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/auth/logout/logout.component.html, HTML, 1, 0, 0, 0, 1, 2
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/auth/logout/logout.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/auth/logout/logout.component.ts, TypeScript, 0, 20, 0, 0, 8, 28
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/form/app-settings-form/app-settings-form.component.css, CSS, 0, 0, 0, 0, 1, 1
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/form/app-settings-form/app-settings-form.component.html, HTML, 15, 0, 0, 0, 1, 16
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/form/app-settings-form/app-settings-form.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/form/app-settings-form/app-settings-form.component.ts, TypeScript, 0, 48, 0, 0, 10, 58
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/form/form-client/form-client.component.css, CSS, 0, 0, 0, 0, 1, 1
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/form/form-client/form-client.component.html, HTML, 123, 0, 0, 0, 13, 136
